Date,Barking_and_Dagenham,Barnet,Barnsley,Bath_and_North_East_Somerset,Bedford,Bexley,Birmingham,Blackburn_with_Darwen,Blackpool,Bolton,Bournemouth,Bracknell_Forest,Bradford,Brent,Brighton _and Hove,Bristol,Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Central_Bedfordshire,Cheshire_East,Cheshire_West_and_Chester,Cornwall_and_Isles_of_Scilly,County_Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East_Riding_of_Yorkshire,East_Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Hackney_and_City_of_London,Halton,Hammersmith_and_Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,Herefordshire,Hertfordshire,Hillingdon,Hounslow,Isle_of_Wight,Islington,Kensington_and_Chelsea,Kent,Kingston_upon_Hull,Kingston_upon_Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton_Keynes,Newcastle_upon_Tyne,Newham,Norfolk,North_East_Lincolnshire,North_Lincolnshire,North_Somerset,North_Tyneside,North_Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar_and_Cleveland,Richmond_upon_Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,Somerset,South_Gloucestershire,South_Tyneside,Southampton,Southend-on-Sea,Southwark,St_Helens,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Sutton,Swindon,Tameside,Telford_and_Wrekin,Thurrock,Torbay,Tower_Hamlets,Trafford,Wakefield,Walsall,Waltham_Forest,Wandsworth,Warrington,Warwickshire,West_Berkshire,West_Sussex,Westminster,Wigan,Wiltshire,Windsor_and_Maidenhead,Wirral,Wokingham,Wolverhampton,Worcestershire,York,,,,,,,,,,,,,,,,,,,,,,
07.03.2020,0,3,2,0,0,0,1,0,0,1,0,2,1,1,7,1,1,1,3,0,0,2,0,0,0,2,0,1,0,4,0,0,3,10,0,0,0,5,0,0,0,3,0,3,0,2,0,1,2,0,1,0,0,0,8,1,3,1,0,6,2,1,1,0,0,2,2,3,0,1,2,1,3,2,5,2,1,0,1,3,0,0,0,0,0,1,0,2,0,2,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,4,0,1,0,0,0,4,0,4,0,0,0,2,0,0,0,3,2,3,3,0,1,2,0,0,3,16,38,17,18,26,30,25,184,11,0,0,1,0,2,2,3,1,0,0,1,0,1
08.03.2020,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,5,0,0,0,0,2,2,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,7,13,8,0,5,11,10,60,5,0,0,0,0,0,0,1,2,0,2,2,0,0
09.03.2020,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,10,6,4,4,2,3,36,7,0,0,0,0,0,0,0,0,0,1,2,2,0
10.03.2020,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,3,0,2,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,5,30,5,2,2,8,3,44,4,0,0,0,0,0,0,2,0,0,0,2,0,0
11.03.2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3,13,6,8,6,9,3,63,9,0,0,2,2,0,0,0,2,0,1,1,0,1
12.03.2020,2,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,2,0,0,0,0,0,32,2,12,10,23,0,104,24,0,0,1,0,1,4,1,5,0,3,3,4,1
13.03.2020,1,5,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,3,1,0,1,2,1,2,0,1,0,2,5,0,1,0,0,0,2,1,0,0,0,2,2,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,3,1,1,4,2,1,7,31,15,5,9,27,7,154,25,19,9,0,1,1,0,2,11,0,0,9,0,0
14.03.2020,1,9,1,1,0,4,3,0,0,0,1,0,0,10,0,0,1,6,0,1,3,6,1,1,0,0,0,0,0,1,2,2,5,0,2,0,0,10,1,1,3,0,0,1,9,6,0,5,21,6,8,0,1,0,1,3,5,1,2,6,0,0,0,0,0,16,0,2,0,1,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,10,0,0,0,1,1,0,0,0,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,2,0,0,2,2,11,0,1,1,0,2,1,0,0,4,146,16,18,7,34,4,280,36,22,5,2,2,2,0,0,10,1,3,5,5,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
